underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
AL,2010-04-15,AL1007,14319.841673205889,14240.680488512577,14328.174429489396,14215.682219662058,0,101608.0,14265.678757363097,14269.84513550485,14290.677026213616,159682.0,14715.647596672447,13861.540077613032,17185.0
AL,2010-04-16,AL1007,14278.177891788357,14190.683950811539,14278.177891788357,14182.351194528032,0,80184.0,14240.680488512577,14215.682219662058,14269.84513550485,161118.0,14694.81570596368,13840.708186904267,17135.0
AL,2010-04-19,AL1007,14049.027093991928,13807.37716177024,14057.359850275434,13803.210783628487,0,127606.0,14190.683950811539,13882.371968321799,14215.682219662058,142460.0,14640.652790120888,13786.545271061474,16860.0
AL,2010-04-20,AL1007,13874.039212038291,13911.536615314071,13928.202127881084,13836.541808762513,0,66292.0,13807.37716177024,13886.538346463552,13882.371968321799,140320.0,14294.84340435537,13465.734154146474,16650.0
AL,2010-04-21,AL1007,13903.203859030566,13907.370237172318,13924.03574973933,13853.207321329526,0,60516.0,13911.536615314071,13882.371968321799,13886.538346463552,140740.0,14299.009782497122,13469.900532288228,16685.0
AL,2010-04-22,AL1007,13803.210783628487,13849.040943187772,13886.538346463552,13799.044405486733,0,51716.0,13907.370237172318,13849.040943187772,13882.371968321799,134870.0,14294.84340435537,13465.734154146474,16565.0
AL,2010-04-23,AL1007,13811.543539911994,13790.711649203227,13857.37369947128,13761.547002210955,0,51328.0,13849.040943187772,13824.042674337254,13849.040943187772,136510.0,14261.512379221344,13432.403129012448,16575.0
AL,2010-04-26,AL1007,13865.706455754786,13840.708186904267,13924.03574973933,13832.37543062076,0,51810.0,13790.711649203227,13874.039212038291,13824.042674337254,141154.0,14236.514110370825,13407.404860161929,16640.0
AL,2010-04-27,AL1007,13824.042674337254,13703.21770822641,13824.042674337254,13674.053061234137,0,63486.0,13840.708186904267,13719.883220793423,13874.039212038291,139046.0,14286.510648071862,13457.401397862968,16590.0
AL,2010-04-28,AL1007,13115.758390239202,13399.072103878423,13478.233288571733,13049.09633997115,0,136204.0,13703.21770822641,13349.075566177384,13719.883220793423,128566.0,14128.18827868524,13049.09633997115,15740.0
