order_book_id,underlying_symbol,market_tplus,symbol,margin_rate,maturity_date,type,trading_code,exchange,product,contract_multiplier,round_lot,trading_hours,listed_date,industry_name,de_listed_date,underlying_order_book_id,start_delivery_date,end_delivery_date
AL1511,AL,0.0,铝1511,0.05,2015-11-16,Future,al1511,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-11-18,有色,2015-11-16,null,2015-11-17,2015-11-23
AL1512,AL,0.0,铝1512,0.05,2015-12-15,Future,al1512,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-12-16,有色,2015-12-15,null,2015-12-16,2015-12-22
AL88,AL,0.0,al主力连续,0.09,0000-00-00,Future,AL2506,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,有色,0000-00-00,,0000-00-00,0000-00-00
AL888,AL,0.0,al主力连续价差平滑,0.09,0000-00-00,Future,AL2506,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,有色,0000-00-00,,0000-00-00,0000-00-00
AL889,AL,0.0,al主力连续价差平滑（后复权）,0.09,0000-00-00,Future,AL2506,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,有色,0000-00-00,,0000-00-00,0000-00-00
AL88A2,AL,0.0,al次主力连续,0.09,0000-00-00,Future,AL2507,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,有色,0000-00-00,,0000-00-00,0000-00-00
AL99,AL,0.0,al指数连续,0.09,0000-00-00,Future,al2205,SHFE,Commodity,5.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,有色,0000-00-00,,0000-00-00,0000-00-00
AO88,AO,0.0,ao主力连续,0.09,0000-00-00,Future,AO2505,SHFE,Commodity,20.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,unknown,0000-00-00,,0000-00-00,0000-00-00
AO888,AO,0.0,ao主力连续价差平滑,0.09,0000-00-00,Future,AO2505,SHFE,Commodity,20.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,unknown,0000-00-00,,0000-00-00,0000-00-00
AO889,AO,0.0,ao主力连续价差平滑（后复权）,0.09,0000-00-00,Future,AO2505,SHFE,Commodity,20.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,unknown,0000-00-00,,0000-00-00,0000-00-00
