date,FCT_Dbcd
2016-03-08,0.0010530503061410882
2016-03-09,0.0004479250206192925
2016-03-10,0.00018351661509308716
2016-03-11,0.00037724506560278325
2016-03-14,0.0005269944447910228
2016-03-15,0.00041003318815536674
2016-03-16,7.393807930101232e-06
2016-03-17,-0.00032816184025843373
2016-03-18,-0.00016242736039425668
2016-03-21,0.0011655251343169182
2016-03-22,0.0034777585072853835
2016-03-23,0.005918393501222499
2016-03-24,0.0075835777034170505
2016-03-25,0.008268702753606347
2016-03-28,0.007635000482601869
2016-03-29,0.005807130301767783
2016-03-30,0.0032670880020733402
2016-03-31,0.0005901731275626423
2016-04-01,-0.0023274945325732046
2016-04-05,-0.005209137793197945
2016-04-06,-0.007538898316647237
2016-04-07,-0.008880513371535836
2016-04-08,-0.00936273695304993
2016-04-11,-0.009623658635497924
2016-04-12,-0.010331344043435598
2016-04-13,-0.011810226036017502
2016-04-14,-0.01398324939392559
2016-04-15,-0.01631434041124013
2016-04-18,-0.017620574153024204
2016-04-19,-0.017420923755020867
2016-04-20,-0.01584612832669332
2016-04-21,-0.012744084291541299
2016-04-22,-0.008792070807528939
2016-04-25,-0.0047894343220414555
2016-04-26,-0.0007610136030223719
2016-04-27,0.0031518105018282735
2016-04-28,0.006249670715575551
2016-04-29,0.008743951193658728
2016-05-03,0.010309061986430853
2016-05-04,0.011215474225682429
2016-05-05,0.011854762867337438
2016-05-06,0.012106543546910079
2016-05-09,0.011675420195756422
2016-05-10,0.010841669885168274
2016-05-11,0.009513287243388825
2016-05-12,0.00751921168829188
2016-05-13,0.005024993024337739
2016-05-16,0.0020955623428363015
2016-05-17,-0.0009282124798856795
2016-05-18,-0.004075299859166343
2016-05-19,-0.007416396003791061
2016-05-20,-0.01054207649674416
2016-05-23,-0.013309673563772611
2016-05-24,-0.01573442943510598
2016-05-25,-0.017581201313841624
2016-05-26,-0.018208800808373712
2016-05-27,-0.01818236372652866
2016-05-30,-0.016868964544502547
2016-05-31,-0.014220559245190657
2016-06-01,-0.01093263946636001
2016-06-02,-0.007820765249759755
2016-06-03,-0.00490436164464638
2016-06-06,-0.0024280325343283148
2016-06-07,-0.0005051728859031133
2016-06-08,0.0011360091521384831
2016-06-13,0.002296197617928097
2016-06-14,0.0037121829713933226
2016-06-15,0.0052700100939597
2016-06-16,0.00693345021740395
2016-06-17,0.008747538172072576
2016-06-20,0.011117952847599796
2016-06-21,0.012756326225589826
2016-06-22,0.013519093258788356
2016-06-23,0.013218671425686645
